City,PostType,Price,Rooms,SqMetrage,Title,SqMetrageBucket,Urgency,PricePerSqM
Warszawa,Company post,449000.0,2,39.0,Mieszkanie 39m2 Białołęka,30-49,Normal,11512.820512820514
Poznań,Company post,449000.0,3,63.0,Niski Blok/ 3 Pokoje/ Os.Rusa/ 63 Mkw,50-74,Normal,7126.984126984127
Poznań,Company post,,3,59.5,3-pokojowe mieszkanie 59m2 + loggia Bezpośrednio,50-74,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Lublin,Company post,,2,34.65,Dwupokojowe Mieszkanie Rezydencja Ogród Saski D4.7,30-49,Normal,
Poznań,Company post,,2,48.54,2-pokojowe mieszkanie 48m2 + loggia,30-49,Normal,
Kraków,Company post,429000.0,1,28.63,Idealna inwestycja- kup i zarabiaj na wynajmie !,<30,Normal,14984.282221446036
Poznań,Company post,600000.0,3,70.4,"Mieszkanie, 70,40 m², Poznań",50-74,Normal,8522.727272727272
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Kraków,Company post,1940000.0,5,200.0,5 pok w zabytkowej kamienicy | ul. Szlak,>100,Normal,9700.0
Poznań,Company post,,3,68.77,3-pokojowe mieszkanie 68m2 + loggia Bezpośrednio,50-74,Normal,
Poznań,Company post,,4,81.66,4-pokojowe mieszkanie 81m2 + 2 loggie Bezpośrednio,75-100,Normal,
Poznań,Company post,,2,45.24,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,4,81.66,4-pokojowe mieszkanie 81m2 + 2 loggie Bezpośrednio,75-100,Normal,
Poznań,Company post,,2,45.61,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,47.06,2-pokojowe mieszkanie 47m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,3,68.77,3-pokojowe mieszkanie 68m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Sosnowiec,Company post,215000.0,1,34.31,Kawalerka Budynek GOTOWY,30-49,Normal,6266.394637132031
Poznań,Company post,,2,48.54,2-pokojowe mieszkanie 48m2 + loggia,30-49,Normal,
Poznań,Company post,,3,68.77,3-pokojowe mieszkanie 68m2 + loggia Bezpośrednio,50-74,Normal,
Poznań,Company post,,2,45.61,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,45.24,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,48.54,2-pokojowe mieszkanie 48m2 + loggia,30-49,Normal,
Poznań,Company post,,3,59.5,3-pokojowe mieszkanie 59m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Poznań,Company post,,2,45.61,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Jelenia Góra,Company post,395000.0,3,55.0,"3 pokoje, 2 balkony - Cieplice",50-74,Normal,7181.818181818182
Poznań,Company post,,2,45.51,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,2,48.54,2-pokojowe mieszkanie 48m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,2,48.54,2-pokojowe mieszkanie 48m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,45.24,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,46.51,2-pokojowe mieszkanie 46m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,3,66.11,3-pokojowe mieszkanie 66m2 + 2 loggie Bez Prowizji,50-74,Normal,
Poznań,Company post,,3,69.42,3-pokojowe mieszkanie 69m2 + loggia Bezpośrednio,50-74,Normal,
Poznań,Company post,,2,45.88,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,2,49.05,2-pokojowe mieszkanie 49m2 + loggia,30-49,Normal,
Poznań,Company post,,3,66.11,3-pokojowe mieszkanie 66m2 + 2 loggie Bezpośrednio,50-74,Normal,
Poznań,Company post,,3,59.86,3-pokojowe mieszkanie 59m2 + loggia,50-74,Normal,
Poznań,Company post,,2,45.8,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,4,81.66,4-pokojowe mieszkanie 81m2 + 2 loggie Bez Prowizji,75-100,Normal,
Poznań,Company post,,2,45.49,2-pokojowe mieszkanie 45m2 + ogródek Bezpośrednio,30-49,Normal,
Poznań,Company post,,2,45.88,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,47.06,2-pokojowe mieszkanie 47m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,2,45.61,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,3,59.5,3-pokojowe mieszkanie 59m2 + loggia,50-74,Normal,
Poznań,Company post,,2,45.88,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,554700.0,2,48.54,2-pokojowe mieszkanie 48m2 + loggia,30-49,Normal,11427.688504326328
Poznań,Company post,,3,65.92,3-pokojowe mieszkanie 65m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,2,45.51,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,2,45.8,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,4,81.66,4-pokojowe mieszkanie 81m2 + 2 loggie Bez Prowizji,75-100,Normal,
Poznań,Company post,,1,30.02,1-pokojowe mieszkanie 30m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,3,65.92,3-pokojowe mieszkanie 65m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,2,42.11,2-pokojowe mieszkanie 42m2 + loggia,30-49,Normal,
Poznań,Company post,,2,42.11,2-pokojowe mieszkanie 42m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,42.11,2-pokojowe mieszkanie 42m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,2,45.51,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,1,30.02,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Poznań,Company post,,1,30.02,1-pokojowe mieszkanie 30m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,3,59.81,3-pokojowe mieszkanie 59m2 + ogródek Bezpośrednio,50-74,Normal,
Poznań,Company post,475900.0,2,47.06,2-pokojowe mieszkanie 47m2 + loggia Bez Prowizji,30-49,Normal,10112.622184445388
Poznań,Company post,,2,45.72,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,3,69.08,3-pokojowe mieszkanie 69m2 + loggia Bezpośrednio,50-74,Normal,
Poznań,Company post,,2,45.72,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,40.89,2-pokojowe mieszkanie 40m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,4,79.95,4-pokojowe mieszkanie 79m2 + loggia,75-100,Normal,
Poznań,Company post,,4,79.95,4-pokojowe mieszkanie 79m2 + loggia Bezpośrednio,75-100,Normal,
Poznań,Company post,,2,45.72,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,3,64.58,3-pokojowe mieszkanie 64m2 + loggia,50-74,Normal,
Poznań,Company post,619000.0,3,55.42,PASTELOWE wnętrze na KAMERALNYM osiedlu nad Wartą,50-74,Normal,11169.252977264525
Poznań,Company post,,2,48.31,2-pokojowe mieszkanie 48m2 + loggia,30-49,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,3,59.5,3-pokojowe mieszkanie 59m2 + loggia Bez Prowizji,50-74,Normal,
Poznań,Company post,,2,45.72,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,30-49,Normal,
Poznań,Company post,,1,30.02,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Poznań,Company post,,3,59.5,3-pokojowe mieszkanie 59m2 + loggia,50-74,Normal,
Gorzów Wielkopolski,Company post,310000.0,4,92.3,"Mieszkanie, 92,30 m², Gorzów Wielkopolski",75-100,Normal,3358.6132177681475
Poznań,Company post,,2,45.59,2-pokojowe mieszkanie 45m2 + loggia,30-49,Normal,
Poznań,Company post,531500.0,2,48.54,2-pokojowe mieszkanie 48m2 + loggia Bez Prowizji,30-49,Normal,10949.732179645653
Poznań,Company post,,4,81.66,4-pokojowe mieszkanie 81m2 + 2 loggie,75-100,Normal,
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Poznań,Company post,,2,46.09,2-pokojowe mieszkanie 46m2 + loggia Bez Prowizji,30-49,Normal,
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia,30-49,Normal,
Poznań,Company post,,1,30.69,1-pokojowe mieszkanie 30m2 + loggia Bez Prowizji,30-49,Normal,
